Unnamed: 0,age,monthly_income,financial_aid,aid_dependency,tuition_ratio,housing_ratio,food_ratio,transportation_ratio,books_supplies_ratio,entertainment_ratio,personal_care_ratio,technology_ratio,health_wellness_ratio,miscellaneous_ratio,housing_burden,food_burden,high_aid_reliance,gender_Male,gender_Non-binary,year_in_school_Junior,year_in_school_Senior,year_in_school_Sophomore,major_Computer Science,major_Economics,major_Engineering,major_Psychology,preferred_payment_method_Credit/Debit Card,preferred_payment_method_Mobile Payment App,financial_score
-1.0,-0.75,-0.12173913043478261,-0.4954128440366973,-0.5184912030840164,0.0,0.1697131521555014,0.36472155745829654,0.10860320570926423,0.1858485316643917,-0.6238485960833917,0.4915033784523939,-0.2567964690459322,0.25263027104342817,-0.3247966062601647,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,14.010586319218241
-0.997997997997998,0.5,-0.028985507246376812,0.7380224260958206,0.5874573236288443,0.0,-0.2986454103750716,0.6764406553720009,-0.4866631162533627,0.5869303411772994,-0.15919595057642744,0.7270207996201806,0.4061242098946955,0.2030105151826277,-0.4038713025923685,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12.906698564593302
-0.995995995995996,0.5,-0.5545893719806764,0.8460754332313966,1.0075740929675427,0.0,0.590000734118865,0.31117534995367485,0.8985413674599781,-0.2677938856246804,1.404991409906272,-0.684349551057926,1.1955936884282383,0.48167548588065767,0.7840511860772361,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.48736462093863
-0.993993993993994,0.25,-0.7806763285024154,-0.5056065239551478,-0.155187103893147,0.0,0.9653023764561824,1.2876080105124492,0.8730014132815107,1.406980572321046,1.15337077407128,-0.2784907627099271,0.7152265945748885,0.682909277075357,-0.17856630104911894,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.64795918367347
-0.991991991991992,-0.5,-0.4077294685990338,0.01834862385321101,0.2570537433577819,0.0,0.8693028595893927,1.2347177778695706,1.1800273481358607,0.5056799407080631,-0.3751907407539529,0.6378778099881989,-0.5010226134094744,-0.26119919840195666,0.23189971476903617,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,13.236486486486484
-0.98998998998999,0.75,-0.9623188405797102,0.564729867482161,1.2028425526704138,0.0,0.29431552982424625,2.8486587692045027,1.5307126972577747,0.5867898352144745,0.8380583921571894,0.2857972608152652,2.1480590777515705,1.0984557918471025,0.8686834898773684,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,12.292460015232292
-0.987987987987988,0.25,0.6434782608695652,-0.9051987767584098,-1.2911436239437248,0.0,-0.18299986672518911,0.27769331940848724,-0.6208946045025028,-0.10194725361600064,-1.0360370408694022,-0.7611243207081305,-0.44385578399364656,-0.275427482173204,-0.7399890533710939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,14.781799016163037
-0.985985985985986,0.25,-0.7536231884057971,0.47910295616717635,0.9357039968946756,0.0,0.5838597132210683,1.0439570205279667,0.34464940315352877,1.675737144253891,-0.3845888078557574,1.9285809647384455,0.5330776681017881,-0.2486868375465391,-0.08324627887824705,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.559100797679479
-0.983983983983984,0.0,0.736231884057971,-0.5402650356778798,-0.8321256590883319,0.0,-0.6163135273678646,0.03775068304910544,-0.8392871899802339,-0.44758842509692304,0.054892184702062335,-0.733445773598236,-0.4470111070363568,0.1395306960975839,0.336243404997844,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,14.323636363636364
-0.9819819819819819,-1.0,0.7768115942028986,-0.8950050968399592,-1.2868917953451593,0.0,-0.5844819750560291,-0.4109842853150144,-0.5174760811387179,-0.625891200999319,-0.7289461784451493,-0.19912673174826442,-0.015240821439931121,-0.9906531611366938,0.32958694286321555,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.777555110220442
